Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
military divorce disability attorney,2,2,110,31,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,3,0.01,0.00,0,155,"[2,2,5,2,5,5,35,43,35,66,100,23]",2026-03-12,"Local pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
divorce litigation vs mediation,1,1,90,0,1.29,https://www.tullylegal.com/resources/articles/mediation-vs-litigation-choosing-the-right-path-for-your-divorce/,3,0.01,3.00,0.19,11000000,"[52,41,41,41,41,29,100,82,52,41,64,52]",2026-03-20,"Sitelinks, Video, Video Carousel, Discussions and forums, AI overview","commercial, informational",AI overview
attorney military divorce,11,11,1300,10,11.63,https://www.tullylegal.com/legal-services/military-law/military-divorce/,3,0.01,34.00,0.05,69800000,"[8,68,68,84,100,100,2,68,84,68,100,100]",2026-04-03,"Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
military divorce disability benefits lawyer,1,1,90,26,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,3,0.01,0.00,0,2310000,"[3,3,3,3,3,6,43,53,43,81,100,28]",2026-03-12,"Local pack, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
are divorce records public,25,0,4400,23,0.73,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,3,0.01,2.00,0.32,175,"[100,66,81,66,66,81,81,100,66,81,66,66]",2026-05-05,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
how to begin the divorce process,4,4,140,31,1.66,https://www.tullylegal.com/resources/articles/how-to-file-for-divorce-step-by-step-guide/,3,0.01,4.00,0.67,0,"[42,80,26,34,34,42,42,34,100,34,53,100]",2026-03-16,"Video, Video Carousel, Related searches, Discussions and forums",informational,Organic
military divorce disability lawyer,2,2,90,,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,3,0.01,0.00,0,157,"[3,3,3,3,3,6,43,53,43,100,81,28]",2026-03-12,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
what is gray divorce mean,6,6,90,19,0.03,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,2,0.01,0.00,0.28,149000000,"[4,4,4,4,4,4,10,35,35,66,35,10]",2026-03-22,"Sitelinks, Video, Related searches, AI overview",informational,Organic
steps of filing divorce,11,11,320,36,1.52,https://www.tullylegal.com/resources/articles/how-to-file-for-divorce-step-by-step-guide/,2,0.01,3.00,0.55,16600000,"[100,35,22,22,66,81,81,100,81,66,66,81]",2026-03-11,"Sitelinks, Video, Related searches, AI overview",informational,Organic
divorce attorney manhattan,7,7,110,35,14.46,https://www.tullylegal.com/manhattan-family/divorce/,2,0.01,28.00,0.45,0,"[11,7,15,26,26,19,65,100,65,80,80,80]",2026-03-14,"Local pack, Video, Image, Related searches",commercial,Organic
what is a gray divorce,14,14,1600,57,0.03,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,2,0.01,0.00,0.16,197000000,"[3,2,2,1,10,1,4,7,5,19,10,4]",2026-04-27,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
military divorce new york,5,5,70,2,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,2,0.01,0.00,0.16,0,"[3,3,7,11,11,19,34,34,34,34,100,42]",2026-03-12,"Video, Related searches, Discussions and forums, AI overview",informational,Organic
military divorce benefits lawyer,5,5,110,7,0.00,https://www.tullylegal.com/legal-services/military-law/military-divorce/,2,0.01,0.00,0,150,"[5,2,2,2,5,5,43,43,35,82,100,28]",2026-03-12,"Local pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
uncontested joint divorce,4,4,30,20,3.43,https://www.tullylegal.com/our-firm/news/new-process-simplifies-uncontested-joint-divorce-in-new-york/,1,0,3.00,0.61,144,"[0,0,100,14,14,14,14,14,14,14,14,14]",2026-03-22,"Video, Related searches","informational, transactional",Organic
how to protect money from divorce,1,1,50,2,1.03,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,1,0,1.00,0.3,157,"[100,63,36,36,18,18,36,45,18,36,63,81]",2026-03-22,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
new york divorce records,26,26,1000,47,1.02,https://www.tullylegal.com/resources/articles/are-new-york-divorce-records-public/,1,0,1.00,0.4,147000000,"[84,84,52,31,52,68,52,52,52,68,52,37]",2026-03-27,"Video, People also ask, Related searches",informational,Organic
new york state divorce law,25,25,720,32,2.66,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,1,0,2.00,0.1,0,"[59,59,72,88,72,59,88,88,59,32,59,88]",2026-03-11,"Sitelinks, Video, Related searches, AI overview",informational,Organic
how to file for divorce in ny,13,13,720,32,1.56,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,1,0,1.00,0.71,138000000,"[88,59,72,72,72,72,88,72,88,88,88,88]",2026-03-31,"Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
attorney military divorce,1,1,1300,10,11.63,https://www.tullylegal.com/legal-services/military-law/military-divorce/,1,0,11.00,0.05,69800000,"[8,68,68,84,100,100,2,68,84,68,100,100]",2026-04-03,"Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
new york state divorce lawyers,30,30,2400,53,11.99,https://www.tullylegal.com/manhattan-family/divorce/,1,0,11.00,0.52,21300000,"[4,4,13,81,44,81,2,5,66,100,81,66]",2026-05-04,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
are divorce filings public,8,8,170,41,0.69,https://www.tullylegal.com/resources/articles/are-new-york-divorce-records-public/,1,0,0.00,0.18,17100000,"[66,66,66,66,66,66,80,100,66,80,80,66]",2026-03-30,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches, AI overview",informational,Organic
new york divorce law marital property,3,3,50,27,0.00,https://www.tullylegal.com/resources/articles/how-is-marital-property-determined-in-new-york/,1,0,0.00,0.07,5530000,"[14,14,23,19,19,23,33,52,33,42,42,19]",2026-04-30,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
should i move out before filing for divorce,2,2,30,0,0.99,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,0.00,0.22,155,"[71,42,71,71,100,28,28,28,14,0,28,57]",2026-03-17,"Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview","commercial, informational",Organic
leaving marital home before divorce,1,1,30,0,1.16,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.23,61400000,"[100,27,18,27,18,18,18,27,18,18,18,18]",2026-04-09,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,AI overview
best divorce lawyers for high income earners in new york,7,7,70,1,0.00,https://www.tullylegal.com/albany-family/divorce-lawyer/high-net-worth/,1,0,0.00,0,9910000,"[35,100,100,100,7,0]",2026-04-19,"Video, Related searches, Discussions and forums, AI overview",commercial,Organic
steps to filing divorce,9,9,140,39,1.52,https://www.tullylegal.com/resources/articles/how-to-file-for-divorce-step-by-step-guide/,1,0,1.00,0.55,145,"[53,100,100,42,53,42,53,53,53,53,42,42]",2026-03-23,"Video, Video Carousel, Related searches, AI overview",informational,Organic
public divorce records ny,10,10,70,26,0.89,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,1,0,0.00,0.44,129,"[23,23,17,17,12,12,17,12,23,12,17,17]",2026-04-07,"Sitelinks, Video, Related searches, AI overview",informational,Organic
can i move out of my house before divorce,1,1,30,0,1.25,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.21,215000000,"[28,57,28,28,28,28,42,42,42,42,57,42]",2026-05-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
can i move out of my house before divorce,3,3,30,0,1.25,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.21,215000000,"[28,57,28,28,28,28,42,42,42,42,57,42]",2026-05-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
does moving out affect divorce,1,1,30,1,1.52,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.28,138,"[9,9,9,9,14,9,14,19,14,14,23,19]",2026-05-01,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
does moving out affect divorce,4,4,30,1,1.52,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.28,138,"[9,9,9,9,14,9,14,19,14,14,23,19]",2026-05-01,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
divorce lawyer rochester ny,19,19,720,25,4.26,https://www.tullylegal.com/rochester-family/divorce-lawyer/,1,0,4.00,0.59,2470000,"[100,59,39,72,88,88,88,100,88,88,59,72]",2026-03-29,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
what does gray divorce mean,6,6,50,7,0.00,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,1,0,0.00,0.18,166,"[6,6,6,6,6,6,28,34,15,34,21,9]",2026-03-17,"Video, Related searches, AI overview",informational,Organic
uncontested divorce nyc,24,24,720,34,3.64,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,1,0,3.00,0.72,1460000,"[36,45,62,81,30,36,30,55,45,45,36,62]",2026-03-28,"Video, Related searches, AI overview",informational,Organic
are new york divorce records public,7,7,90,33,0.92,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,1,0,0.00,0.18,131,"[64,78,78,64,64,78,64,50,78,100,28,28]",2026-03-30,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
gray divorce meaning,13,13,1000,34,0.02,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,1,0,0.00,0.26,131000000,"[5,3,4,4,13,1,10,15,7,13,8,7]",2026-04-21,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
nyc divorce records,36,36,1600,49,1.02,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,1,0,1.00,0.4,0,"[66,66,100,66,54,54,66,66,54,54,54,54]",2026-03-17,"Related searches, AI overview",informational,Organic
divorce litigation vs. mediation,1,1,30,3,1.29,https://www.tullylegal.com/resources/articles/mediation-vs-litigation-choosing-the-right-path-for-your-divorce/,1,0,1.00,0.19,156,"[3,3,3,1,0,0,1,1,1,1,1,1]",2026-04-18,"Sitelinks, Video, Related searches, AI overview","commercial, informational",AI overview
divorce litigation vs. mediation,3,3,30,3,1.29,https://www.tullylegal.com/resources/articles/mediation-vs-litigation-choosing-the-right-path-for-your-divorce/,1,0,1.00,0.19,156,"[3,3,3,1,0,0,1,1,1,1,1,1]",2026-04-18,"Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
moving out of marital home before divorce,1,1,30,1,0.82,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,0.00,0.17,43800000,"[28,28,28,42,42,28,28,57,42,28,28,71]",2026-05-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
filing for divorce in ny,12,12,390,37,2.87,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,1,0,2.00,0.76,36800000,"[72,88,48,32,32,21,39,39,39,17,32,14]",2026-03-23,"Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
asset protection divorce,1,1,70,0,2.54,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,1,0,2.00,0.36,25900000,"[100,52,41,29,29,23,52,52,41,29,23,17]",2026-03-19,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
asset protection in divorce,1,1,40,11,2.54,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,1,0,2.00,0.36,0,"[42,42,42,57,57,42,42,71,42,100,71,71]",2026-03-12,"Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
asset protection in divorce,3,3,40,11,2.54,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,1,0,2.00,0.36,0,"[42,42,42,57,57,42,42,71,42,100,71,71]",2026-03-12,"Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
are divorce records public in ny,6,6,140,32,0.92,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,1,0,0.00,0.18,88300000,"[52,66,52,66,66,52,66,80,66,100,52,52]",2026-03-26,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
no fault divorce attorney,2,2,30,0,5.07,https://www.tullylegal.com/brooklyn-family/divorce/,1,0,5.00,0.24,124,"[28,28,14,14,14,14,71,100,57,57,42,42]",2026-03-25,"Local pack, Sitelinks, Video, Video Carousel, Related searches",commercial,Organic
solicitors near me divorce,2,2,40,30,0.00,https://www.tullylegal.com/saratoga-family/,1,0,0.00,0.33,0,"[11,15,19,15,19,26,19,15,11,15,11,11]",2026-03-17,"Local pack, FAQ, Related searches",transactional,Organic
removing items from marital home before divorce,1,1,390,4,3.84,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,3.00,0.07,0,"[66,54,81,66,66,54,54,54,66,66,66,54]",2026-03-13,"Sitelinks, Video, Related searches, AI overview",informational,AI overview
wife moves out before divorce,3,3,50,3,1.51,https://www.tullylegal.com/resources/articles/can-moving-out-before-a-divorce-cause-problems/,1,0,1.00,0.11,216000000,"[19,26,26,19,26,26,26,19,19,26,26,19]",2026-03-19,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
divorce lawyers in white plains ny,9,9,110,24,13.41,https://www.tullylegal.com/white-plains-family/divorce/,1,0,13.00,0.92,0,"[28,43,43,65,81,43,34,28,28,21,15,21]",2026-03-14,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
gray divorce definition,7,7,50,28,0.00,https://www.tullylegal.com/resources/articles/what-is-gray-divorce-and-how-can-it-affect-assets-and-retirement-planning/,1,0,0.00,0.11,10500000,"[17,11,11,29,52,11,41,41,41,100,41,23]",2026-04-05,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
protecting assets before divorce,14,14,30,6,1.91,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,0,0,0.00,0.49,52600000,"[42,28,28,42,28,28,100,100,71,14,14,14]",2026-03-19,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
divorce asset protection strategies,12,12,50,2,0.00,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,0,0,0.00,0.38,5470000,"[36,27,27,18,18,18,45,81,100,81,63,63]",2026-03-25,"Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
divorce lawyers batavia ny,69,69,30,5,3.31,https://www.tullylegal.com/buffalo-family/divorce-lawyer/,0,0,0.00,0.75,22400,"[45,45,18,18,18,18,100,18,18,18,18,18]",2026-04-29,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
divorce lawyers batavia ny,75,75,30,5,3.31,https://www.tullylegal.com/buffalo-family/divorce-lawyer/,0,0,0.00,0.75,22400,"[45,45,18,18,18,18,100,18,18,18,18,18]",2026-04-29,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
divorce and separation attorney,83,83,50,35,8.02,https://www.tullylegal.com/brooklyn-family/divorce/,0,0,0.00,0.27,24000000,"[18,18,100,100,100,18,18,18,100,18,18,18]",2026-04-09,"Local pack, Video, Video Carousel, FAQ, Related searches",commercial,Organic
how long does uncontested divorce take in ny,31,31,40,1,1.33,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,0,0,0.00,0.13,145,"[22,22,33,22,100,11,77,77,55,44,33,11]",2026-03-16,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
file for divorce new york,26,19,40,33,2.87,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,0,0,0.00,0.76,97400000,"[23,5,29,17,5,23,52,52,17,5,5,11]",2026-05-05,"Image pack, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
queens divorce attorney,93,93,70,19,15.33,https://www.tullylegal.com/manhattan-family/divorce/,0,0,0.00,0.82,0,"[0,2,0,3,4,3,8,10,5,4,0,4]",2026-03-15,"Local pack, Video, Image, Related searches",commercial,Organic
rochester divorce lawyer,15,15,140,22,4.26,https://www.tullylegal.com/rochester-family/divorce-lawyer/,0,0,0.00,0.59,1250000,"[19,19,26,26,34,34,100,100,65,53,42,65]",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic
fault and no fault divorce lawyers,71,71,110,1,0.00,https://www.tullylegal.com/brooklyn-family/divorce/,0,0,0.00,0,159,"[100,42,0]",2026-03-11,"Local pack, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
how to get a divorce in new york state,21,21,320,29,1.58,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,0,0,0.00,0.7,212000000,"[54,29,100,36,36,29,44,66,29,81,23,19]",2026-04-06,"Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
how to get a divorce in new york state,42,42,320,29,1.58,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,0,0,0.00,0.7,212000000,"[54,29,100,36,36,29,44,66,29,81,23,19]",2026-04-06,"Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
staten island divorce,54,54,30,13,7.01,https://www.tullylegal.com/staten-island-family/,0,0,0.00,0.47,3440000,"[33,33,33,22,22,22,77,77,33,22,22,22]",2026-05-03,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
are divorce records public records,10,10,320,27,0.73,https://www.tullylegal.com/resources/articles/are-new-york-divorce-records-public/,0,0,0.00,0.32,198000000,"[5,2,54,7,20,10,30,7,4,13,4,3]",2026-04-20,"Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
is a divorce decree public record,64,64,170,40,0.95,https://www.tullylegal.com/resources/articles/are-divorce-records-public-in-new-york/,0,0,0.00,0.29,152000000,"[66,66,80,80,100,80,66,80,80,80,80,66]",2026-04-26,"Sitelinks, Video, People also ask, FAQ, Related searches, Discussions and forums, AI overview",informational,Organic
change your name after divorce,56,56,50,25,0.60,https://www.tullylegal.com/resources/articles/take-back-whats-yours-name-change-after-divorce/,0,0,0.00,0.28,225000000,"[77,100,100,77,77,55,44,55,44,11,11,33]",2026-04-24,"Video, Video Carousel, People also ask, FAQ, Related searches, Discussions and forums, AI overview",informational,Organic
divorce documents public record,74,74,90,47,0.98,https://www.tullylegal.com/resources/articles/are-new-york-divorce-records-public/,0,0,0.00,0.76,20200000,"[82,100,41,52,52,64,64,17,17,29,23,17]",2026-03-21,"Sitelinks, Video, FAQ, Related searches, Discussions and forums, AI overview",informational,Organic
what happens after you file for uncontested divorce,93,93,40,17,3.28,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,0,0,0.00,0.31,2780000,"[42,28,42,42,42,28,57,71,71,57,57,42]",2026-04-24,"Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
grounds for divorce new york,87,87,70,20,0.54,https://www.tullylegal.com/resources/articles/what-is-required-for-an-uncontested-divorce-in-new-york-state/,0,0,0.00,0.25,19100000,"[100,0,7,0,0,64,78,78,64,64,35,35]",2026-04-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
filing for divorce nyc,31,31,30,35,3.71,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,0,0,0.00,0.8,6410000,"[42,42,28,28,42,28,57,42,42,42,100,42]",2026-04-09,"Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
trust to protect assets from divorce,14,14,50,5,2.73,https://www.tullylegal.com/resources/articles/how-can-i-protect-my-assets-during-divorce/,0,0,0.00,0.51,14400000,"[63,63,63,45,36,27,63,63,45,18,18,18]",2026-03-20,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
coughtry law albany - divorce lawyer & family attorney,36,36,70,19,2.94,https://www.tullylegal.com/albany-family/,0,0,0.00,0.08,542,"[0,0,100,78,100]",2026-04-05,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
cryptocurrency in divorce,82,82,40,3,0.00,https://www.tullylegal.com/resources/articles/how-to-deal-with-cryptocurrency-and-digital-assets-during-a-divorce/,0,0,0.00,0.33,0,"[45,36,36,45,45,36,36,45,45,36,45,36]",2026-03-12,"Video, Video Carousel, Related searches, AI overview",informational,Organic
divorce in military retirement,19,19,210,14,1.11,https://www.tullylegal.com/resources/articles/how-divorce-impacts-your-military-benefits/,0,0,0.00,0.21,27200000,"[81,22,29,22,66,81,29,22,66,35,54,35]",2026-03-22,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
new york no fault divorce,85,85,140,15,2.46,https://www.tullylegal.com/rochester-family/divorce-lawyer/no-fault/,0,0,0.00,0.44,12600000,"[34,34,53,43,34,43,53,34,34,43,28,28]",2026-05-02,"Sitelinks, Video, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
rochester divorce attorney,28,28,320,20,4.26,https://www.tullylegal.com/rochester-family/divorce-lawyer/,0,0,0.00,0.59,1370000,"[54,36,36,81,36,36,23,29,29,100,15,23]",2026-04-23,"Local pack, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
divorce papers online new york,74,74,50,40,1.07,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,0,0,0.00,0.58,136,"[14,14,35,21,7,21,50,50,50,50,35,35]",2026-03-13,"Video, Related searches, AI overview",informational,Organic
divorce lawyers albany ny,5,5,70,30,9.56,https://www.tullylegal.com/albany-family/divorce-lawyer/,0,0,0.00,0.71,718000,"[100,23,33,19,42,14,23,33,42,14,100,9]",2026-04-28,"Local pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
divorce process in ny,46,46,320,35,1.30,https://www.tullylegal.com/resources/articles/things-to-do-when-filing-for-divorce-in-new-york/,0,0,0.00,0.52,0,"[15,35,81,23,66,54,54,66,81,66,66,66]",2026-03-14,"Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
military retirement and divorce,35,35,320,16,1.11,https://www.tullylegal.com/resources/articles/how-divorce-impacts-your-military-benefits/,0,0,0.00,0.21,23700000,"[100,66,66,66,81,81,81,54,81,54,43,35]",2026-04-14,"Sitelinks, Video, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
military retirement after divorce,30,30,30,14,0.93,https://www.tullylegal.com/resources/articles/how-divorce-impacts-your-military-benefits/,0,0,0.00,0.15,27300000,"[18,18,18,18,18,18,18,18,100,18,18,18]",2026-04-18,"Sitelinks, Video, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
