Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
business formation lawyer near me,1,0,210,0,8.47,transactional,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,52,0.3,440.00,0.42,220,"[28,23,28,35,23,44,100,100,35,15,15,18]",2026-04-25,Local pack,,
labor attorney dc,1,0,390,26,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,51,0.29,250.00,0.68,63500000,"[11,72,32,14,17,48,21,26,100,59,26,32]",2026-04-25,Local pack,,
lawyer for business,1,0,390,57,7.96,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,51,0.29,405.00,0.48,2390000000,"[36,8,20,4,55,16,55,36,24,30,24,10]",2026-04-12,Local pack,,
commercial real estate lawyer near me,2,0,590,3,4.08,"informational, transactional",https://www.tullylegal.com/rochester-real-estate/commercial-real-estate-lawyer/,48,0.27,195.00,0.52,361000000,"[39,59,88,72,48,39,72,59,59,32,32,32]",2026-03-14,Organic,,
washington dc employment law attorney,1,0,590,51,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,48,0.27,236.00,0.68,120000000,"[10,8,5,81,36,100,8,8,62,36,45,30]",2026-04-14,Local pack,,
attorney military divorce,1,0,1300,10,11.63,informational,https://www.tullylegal.com/legal-services/military-law/military-divorce/,45,0.26,523.00,0.05,69800000,"[8,68,68,84,100,100,2,68,84,68,100,100]",2026-04-03,AI overview,,
texas non compete law,4,0,1300,15,4.59,informational,https://www.tullylegal.com/resources/articles/2026-update-clarifying-the-legal-status-of-non-competes-in-texas/,45,0.26,206.00,0.3,134,"[84,52,68,68,68,68,52,68,68,84,52,46]",2026-04-25,Organic,,
squatters rights ny,1,0,720,14,0.41,informational,https://www.tullylegal.com/resources/articles/new-york-legislators-stand-up-to-squatters-how-squatters-and-squatters-rights-cases-in-new-york-could-be-in-for-big-changes/,43,0.24,17.00,0.03,143,"[16,16,16,30,20,20,24,20,20,11,24,55]",2026-03-09,AI overview,,
joseph felix,1,0,170,10,0.00,informational,https://www.tullylegal.com/our-firm/news/marine-drill-instructor-sentenced-over-boot-camp-hazing-death-arrested-after-early-release/,42,0.24,0.00,0,151000000,"[7,8,5,4,7,8,5,7,5,5,4,4]",2026-03-27,Organic,,
dc employment lawyers,1,0,320,55,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,42,0.24,206.00,0.68,252000000,"[8,100,81,81,54,81,23,28,66,35,35,23]",2026-04-28,Local pack,,
pete hegseth brother,4,17,1300,42,0.00,informational,https://www.tullylegal.com/our-firm/news/hegseths-younger-brother-is-serving-in-a-key-role-as-liaison-and-senior-adviser-inside-the-pentagon/,42,0.26,0.00,0,3480000,"[53,4,100,66,4,3,2,13,4,3,2,4]",2026-04-06,Organic,Image pack,
employment lawyer washington dc,1,0,320,56,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,42,0.24,206.00,0.68,0,"[81,100,44,81,66,36,29,29,29,29,29,36]",2026-03-11,Local pack,,
e quip,6,15,1900,36,11.81,informational,https://www.tullylegal.com/resources/articles/e-qip-vs-eapp-whats-the-difference/,41,0.26,531.00,0.11,157000000,"[7,15,0,0,0,23,23,29,13,19,29,15]",2026-04-24,Organic,,
lawyers in dc,1,0,480,56,8.75,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,39,0.22,341.00,0.61,134,"[54,44,67,100,54,29,23,67,67,81,54,44]",2026-04-23,Local pack,,
texas non compete,2,0,480,9,4.59,informational,https://www.tullylegal.com/resources/articles/2026-update-clarifying-the-legal-status-of-non-competes-in-texas/,39,0.22,179.00,0.3,134,"[6,10,81,20,20,30,100,16,30,30,1,24]",2026-04-06,Organic,,
non compete contracts in texas,6,0,1300,12,4.59,informational,https://www.tullylegal.com/resources/articles/2026-update-clarifying-the-legal-status-of-non-competes-in-texas/,39,0.22,179.00,0.3,14800000,"[7,79,100,66,79,79,3,30,66,54,8,4]",2026-03-28,Organic,,
military divorce attorney,4,49,4400,23,11.63,commercial,https://www.tullylegal.com/legal-services/military-law/military-divorce/,39,0.22,453.00,0.05,29300000,"[3,3,5,7,7,4,13,100,7,5,5,5]",2026-04-28,Organic,,
does ny have the death penalty,5,9,1600,18,0.00,informational,https://www.tullylegal.com/our-firm/news/why-doesnt-new-york-have-a-death-penalty/,36,0.32,0.00,0,0,"[7,13,7,36,5,4,3,3,10,3,3,5]",2026-03-12,Organic,,Discussions and forums
c p s meaning,1,0,1600,56,0.00,informational,https://www.tullylegal.com/resources/articles/what-to-do-if-you-get-a-call-from-child-protective-services/,35,0.2,0.00,0,82900000,"[24,24,1,0,0,0,0,0,0,100,81,81]",2026-04-01,People also ask,,
is military municipal,1,0,590,29,0.00,"commercial, informational",https://www.tullylegal.com/our-firm/news/5-things-to-know-about-military-court/,35,0.2,0.00,0,70800000,"[100,0,0]",2026-04-24,AI overview,,
attorneys in washington dc,1,0,260,51,8.75,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,34,0.19,297.00,0.61,77400000,"[81,81,36,36,19,44,29,23,44,23,15,12]",2026-04-07,Local pack,,
corporate litigation lawyer,1,0,1000,33,7.06,informational,https://www.tullylegal.com/albany-litigation/,34,0.19,240.00,0.12,90600000,"[25,37,52,52,52,52,68,100,68,68,37,68]",2026-04-08,AI overview,,
eeo me,7,11,1900,49,7.58,informational,https://www.tullylegal.com/resources/articles/my-agency-discriminated-against-me-and-i-have-no-idea-how-to-write-and-file-an-eeo-complaint/,34,0.2,272.00,0,34800000,"[0,13,16,0,36,54,81,54,100,29,54,81]",2026-04-24,Organic,People also ask,
how long is a security clearance good for,3,4,590,20,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,33,0.22,0.00,0,175000000,"[72,100,72,59,59,32,59,59,48,39,39,26]",2026-03-11,Organic,,People also ask
how long does a secret clearance last,4,6,1000,20,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,31,0.25,0.00,0,85000000,"[100,81,100,81,100,62,55,81,62,55,45,62]",2026-03-31,Organic,,People also ask
med board,7,20,1300,38,3.98,informational,https://www.tullylegal.com/legal-services/military-law/medical-evaluation-boards/,31,0.18,123.00,0.02,1380000000,"[68,68,100,84,37,52,52,46,68,52,68,68]",2026-04-01,Organic,,"People also ask, See results about, Short videos"
texas state employees return to office,2,0,390,19,0.00,informational,https://www.tullylegal.com/resources/articles/texas-telework-policies-state-employee-rights-and-restrictions/,31,0.18,0.00,0,176000000,"[3,8,100,7,3,3,1,0,0,0,0,0]",2026-04-06,Organic,,
meb,2,0,4400,47,0.00,"informational, navigational",https://www.tullylegal.com/legal-services/military-law/medical-evaluation-boards/,30,0.17,0.00,0.01,108,"[66,54,66,54,66,54,54,81,54,66,66,66]",2026-04-29,People also ask,,
how long does top secret clearance last,1,2,260,19,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,30,0.19,0.00,0,31000000,"[100,100,100,65,81,81,81,81,65,65,65,65]",2026-03-13,Organic,,People also ask
alimony spousal maintenance,5,0,880,39,1.65,informational,https://www.tullylegal.com/resources/articles/what-you-need-to-know-about-alimony-spousal-maintenance/,30,0.17,49.00,0.15,0,"[13,55,100,100,100,76,8,55,76,55,55,67]",2026-03-13,Organic,,
how long does security clearance last,1,0,880,18,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,30,0.17,0.00,0,133,"[81,81,81,62,45,16,45,55,62,45,30,30]",2026-03-28,AI overview,,
how long does sc clearance last,1,0,880,,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,30,0.17,0.00,0,79300000,"[10,100,81,100,81,0,6,45,62,62,62,55]",2026-03-11,AI overview,,
federal employment labor law attorney,1,0,480,41,11.57,informational,https://www.tullylegal.com/legal-services/federal-employment-law/,29,0.16,335.00,0.55,668000000,"[45,100,36,36,20,10,20,16,45,16,13,16]",2026-04-14,AI overview,,
new york probate timeline,1,8,260,16,1.03,informational,https://www.tullylegal.com/resources/articles/how-long-does-probate-take-in-new-york-state/,28,0.19,35.00,0.2,1170000,"[100,100,100,81,81,81,81,81,81,65,53,43]",2026-04-14,Organic,"Video Carousel, People also ask",
hegseth brother,3,11,390,50,0.00,informational,https://www.tullylegal.com/our-firm/news/hegseths-younger-brother-is-serving-in-a-key-role-as-liaison-and-senior-adviser-inside-the-pentagon/,28,0.18,0.00,0,173,"[3,0,100,55,3,1,1,8,2,1,1,1]",2026-04-25,Organic,People also ask,
ssbi,1,0,1600,31,2.14,informational,https://www.tullylegal.com/resources/articles/7-deadly-sins-for-security-clearance-holders-and-applicants/,28,0.16,59.00,0.01,353000,"[44,44,52,52,44,52,52,44,52,44,36,36]",2026-03-26,People also ask,,
employment attorney washington dc,1,0,320,50,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,26,0.15,127.00,0.68,91000000,"[26,48,14,21,14,26,21,26,100,21,17,17]",2026-04-20,Local pack,,
green national,6,0,880,12,0.00,informational,https://www.tullylegal.com/our-firm/news/green-national-receivership-hearing-friday-expert-explains-what-could-happen-to-skyline/,26,0.15,0.00,0.01,63,"[100,88,88,72,59,59,59,100,72,100,88,100]",2026-04-08,Organic,,
federal employee rights lawyers,1,3,2900,38,11.57,informational,https://www.tullylegal.com/legal-services/federal-employment-law/,26,0.36,728.00,0.55,137,"[1,100,66,44,24,19,0,8,29,13,16,16]",2026-04-25,Organic,,
are non competes enforceable in texas,4,0,590,0,5.32,informational,https://www.tullylegal.com/resources/articles/2026-update-clarifying-the-legal-status-of-non-competes-in-texas/,25,0.14,133.00,0.1,178000,"[100,81,67,67,54,54,67,67,81,81,67,67]",2026-04-16,Organic,,
medical discharge army,4,19,590,11,4.03,informational,http://www.tullylegal.com/wp-content/uploads/Guide_to_Obtaining_Medical_Discharge.pdf,25,0.14,100.00,0.02,142,"[67,67,100,67,81,100,54,44,54,54,67,54]",2026-03-18,Organic,Video Carousel,"People also ask, Things to know"
auto dealer lawyers,3,0,720,6,13.19,commercial,https://www.tullylegal.com/legal-services/automotive-dealership-representation/,25,0.14,329.00,0.95,0,"[13,54,100,66,10,20,10,10,16,13,7,5]",2026-03-11,Organic,,
tully rinckey syracuse,1,0,30,11,2.19,navigational,https://www.tullylegal.com/locations/syracuse-ny/,24,0.13,52.00,0.23,15100,"[28,28,14,14,14,14,14,14,14,21,14,21]",2026-04-18,Organic,,
tully rinckey locations,1,0,30,33,9.70,navigational,https://www.tullylegal.com/locations/,24,0.13,232.00,0.37,74300,"[33,55,33,33,22,22,33,22,22,22,33,33]",2026-04-18,Organic,,
tully rinckey nyc,1,0,30,30,2.72,"informational, navigational",https://www.tullylegal.com/locations/manhattan-ny/,24,0.13,65.00,0.16,104,"[11,29,29,29,17,17,23,11,11,11,11,17]",2026-05-01,Organic,,
titled def,1,0,720,36,0.00,informational,https://www.tullylegal.com/resources/articles/ive-been-titled-what-does-that-mean-and-how-can-i-fix-it/,23,0.13,0.00,0,178000000,"[0,0,0,0,0,0,0,0,0,100,35,3]",2026-04-28,People also ask,,
lawyer for the company,1,0,90,86,0.00,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,22,0.12,0.00,0,2620000000,"[100,100,3,0,0,0,0]",2026-04-09,Local pack,,
family lawyer close to me,17,0,14800,65,7.19,commercial,https://www.tullylegal.com/albany-family/,22,0.12,158.00,0.54,366000000,"[1,16,100,4,0,44,20,0,3,0,2,4]",2026-04-24,Organic,,
how long does secret clearance last,1,0,1000,23,0.00,informational,https://www.tullylegal.com/resources/articles/tips-for-maintaining-your-security-clearance/,22,0.12,0.00,0,79800000,"[81,81,62,55,62,55,55,81,45,81,45,45]",2026-04-23,People also ask,,
security clearance lawyer dc,1,3,110,10,12.95,informational,https://www.tullylegal.com/washington-dc/security-clearance-representation/,22,0.15,349.00,0.74,112,"[17,17,64,17,52,41,82,100,100,82,82,82]",2026-04-09,Organic,Knowledge panel,Local pack
security clearance lawyers washington dc,1,11,90,12,12.95,informational,https://www.tullylegal.com/washington-dc/security-clearance-representation/,22,0.12,284.00,0.74,1660000,"[14,14,78,35,28,28,78,78,78,78,100,78]",2026-04-09,Organic,"Knowledge panel, People also ask","Local pack, AI overview"
business incorporation lawyer,1,0,260,8,6.23,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,21,0.12,130.00,0.07,33900000,"[65,65,53,100,81,65,65,65,81,81,65,81]",2026-04-05,Local pack,,
rinckey,7,0,720,44,3.35,"informational, transactional",https://www.tullylegal.com/locations/rochester-ny/,21,0.12,70.00,0.31,0,"[20,66,100,54,41,13,10,13,20,13,16,16]",2026-03-11,Organic,,
how to win full custody as a mother,1,0,590,0,2.12,informational,https://www.tullylegal.com/resources/articles/how-do-i-get-full-custody-of-my-child-in-new-york/,20,0.11,42.00,0.24,0,"[59,59,72,72,59,48,59,72,59,39,32,32]",2026-03-18,AI overview,,
federal employee attorney,2,11,590,40,11.57,informational,https://www.tullylegal.com/legal-services/federal-employment-law/,20,0.11,231.00,0.55,149,"[20,100,20,25,25,20,31,31,31,31,31,37]",2026-04-04,Organic,,
security clearance revoked,5,0,590,31,4.33,informational,https://www.tullylegal.com/resources/articles/can-you-appeal-a-revoked-security-clearance-after-a-job-loss/,20,0.11,86.00,0.05,7020000,"[100,52,68,11,4,4,16,84,13,13,7,16]",2026-04-01,Organic,,
15 / 6,10,0,1000,13,0.00,informational,https://www.tullylegal.com/resources/articles/article-15-6-investigations-should-you-talk-to-the-investigator-without-an-attorney-present/,19,0.11,0.00,0,129,"[41,24,41,100,0,79,1,7,66,100,30,41]",2026-04-06,Organic,,
federal employment lawyer near me,1,5,170,31,10.93,transactional,https://www.tullylegal.com/legal-services/federal-employment-law/,19,0.12,240.00,0.87,157,"[34,100,100,53,34,26,65,65,65,80,42,53]",2026-04-21,Organic,"Knowledge panel, AI overview",Local pack
what is a cps,1,0,480,48,0.00,informational,https://www.tullylegal.com/resources/articles/what-to-do-if-you-get-a-call-from-child-protective-services/,19,0.11,0.00,0,86900000,"[30,8,20,20,13,7,24,20,16,13,5,30]",2026-03-29,People also ask,,
how to get full custody of a child,1,0,590,5,0.00,informational,https://www.tullylegal.com/resources/articles/how-do-i-get-full-custody-of-my-child-in-new-york/,19,0.11,0.00,0,120000000,"[62,62,55,55,45,81,30,10,6,5,6,36]",2026-04-02,AI overview,,
does new york state have the death penalty,6,8,1600,18,0.00,informational,https://www.tullylegal.com/our-firm/news/why-doesnt-new-york-have-a-death-penalty/,19,0.2,0.00,0,62900000,"[43,28,28,54,43,36,5,10,19,19,7,5]",2026-03-11,Organic,Discussions and forums,People also ask
jag near me,2,0,590,39,1.91,"informational, transactional",https://www.tullylegal.com/legal-services/military-law/hire-civilian-attorney-court-martial/,19,0.11,36.00,0.78,134000000,"[45,36,36,24,24,20,24,24,24,24,100,36]",2026-03-29,People also ask,,
traffic law,1,0,1000,58,6.60,informational,https://www.tullylegal.com/rochester-criminal/traffic-lawyer/,18,0.1,118.00,0.17,844000000,"[25,20,37,31,52,37,68,84,100,68,37,37]",2026-04-18,AI overview,,
dc employment lawyer,1,0,140,56,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,18,0.1,88.00,0.68,92500000,"[53,100,42,42,42,42,34,34,42,100,53,42]",2026-03-20,Local pack,,
gunnery sgt joseph felix,2,0,140,16,0.00,informational,https://www.tullylegal.com/our-firm/news/marine-drill-instructor-sentenced-over-boot-camp-hazing-death-arrested-after-early-release/,18,0.1,0.00,0,39400,"[13,16,13,8,10,10,10,8,6,16,8,8]",2026-04-20,Organic,,
how long is a secret clearance good for,3,7,720,17,0.00,informational,https://www.tullylegal.com/resources/articles/how-long-does-a-security-clearance-last/,18,0.12,0.00,0,129,"[76,100,76,55,55,45,45,36,36,30,45,45]",2026-03-11,Organic,,People also ask
gunnery sergeant joseph felix,2,0,140,16,0.00,informational,https://www.tullylegal.com/our-firm/news/marine-drill-instructor-sentenced-over-boot-camp-hazing-death-arrested-after-early-release/,18,0.1,0.00,0,83200,"[6,13,10,5,10,10,10,6,8,16,10,8]",2026-04-26,Organic,,
employment lawyers in washington dc,1,0,140,50,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,18,0.1,88.00,0.68,223000000,"[3,100,34,42,34,65,42,42,80,65,53,34]",2026-04-02,Local pack,,
rochester lawyers,1,0,210,43,12.31,commercial,https://www.tullylegal.com/locations/rochester-ny/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Rochester&utm_content=homepage,17,0.09,209.00,0.72,4730000,"[36,23,6,12,19,12,54,100,9,23,9,19]",2026-04-29,Local pack,,
dc business attorney,1,0,70,30,5.03,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,17,0.09,85.00,0.55,194000000,"[64,50,50,50,64,100,35,64,50,21,35,35]",2026-04-23,Local pack,,
albany federal eeo lawyer,1,0,70,13,0.00,informational,https://www.tullylegal.com/albany-employment-law/,17,0.09,0.00,0,112,"[9,100,100]",2026-04-29,Organic,,
business lawyer austin texas,1,0,70,9,9.44,commercial,https://www.tullylegal.com/locations/austin-tx?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Austin&utm_content=homepage,17,0.09,160.00,0.57,125,"[10,7,5,7,7,4,10,10,5,1,7,1]",2026-04-25,Local pack,,
civil rights attorney washington dc,1,0,210,20,2.54,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,17,0.09,43.00,0.55,155,"[53,100,81,65,34,28,65,53,43,65,65,65]",2026-04-22,Local pack,,
public trust security clearance,1,0,1000,44,3.30,informational,https://www.tullylegal.com/resources/articles/what-happens-when-a-federal-employee-fails-a-background-check/,17,0.09,56.00,0.02,59600000,"[100,68,68,52,46,52,46,52,68,52,37,37]",2026-04-22,Things to know,,
how to beat a gun charge in ny,2,3,260,1,5.29,informational,https://www.tullylegal.com/resources/articles/how-to-beat-a-gun-charge-in-new-york/,17,0.12,111.00,0.34,0,"[100,35,43,35,43,35,66,66,54,43,66,29]",2026-03-09,Organic,,"People also ask, Related searches, Discussions and forums"
pamela branch,3,4,390,20,0.00,informational,https://www.tullylegal.com/attorneys/pamela-j-branch/,16,0.14,0.00,0,0,"[8,5,5,4,4,7,7,7,4,5,3,3]",2026-03-09,Organic,Image pack,"Knowledge panel, People also ask"
non compete agreements in texas,3,0,260,7,4.59,informational,https://www.tullylegal.com/resources/articles/2026-update-clarifying-the-legal-status-of-non-competes-in-texas/,16,0.09,73.00,0.3,13900000,"[43,66,81,43,66,43,66,100,54,43,35,54]",2026-03-09,Organic,,
nyc squatters rights,3,4,480,19,0.41,informational,https://www.tullylegal.com/resources/articles/new-york-legislators-stand-up-to-squatters-how-squatters-and-squatters-rights-cases-in-new-york-could-be-in-for-big-changes/,16,0.18,12.00,0.03,0,"[3,3,2,4,4,4,3,2,3,8,2,3]",2026-03-17,Organic,Short videos,People also ask
washington dc law firms,2,0,260,43,0.00,"commercial, informational",https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,16,0.09,0.00,0,105000000,"[8,8,11,8,8,7,11,11,11,8,8,8]",2026-04-13,Local pack,,
new york probate timeline,1,0,260,16,1.03,informational,https://www.tullylegal.com/resources/articles/how-long-does-probate-take-in-new-york-state/,15,0.08,15.00,0.2,1170000,"[100,100,100,81,81,81,81,81,81,65,53,43]",2026-04-14,AI overview,,
prenuptial after marriage,1,0,260,1,2.35,"commercial, informational",https://www.tullylegal.com/resources/articles/can-you-sign-a-prenup-after-marriage/,15,0.08,35.00,0.28,2640000,"[46,7,11,11,20,8,11,11,13,8,8,11]",2026-03-13,AI overview,,
administrative discharge,1,0,390,2,18.40,informational,https://www.tullylegal.com/resources/articles/understanding-administrative-separation/,15,0.08,276.00,0.05,115000000,"[30,24,30,36,24,24,36,30,36,36,30,30]",2026-04-12,Things to know,,
how to beat a gun charge in ny,1,0,260,1,5.29,informational,https://www.tullylegal.com/resources/articles/how-to-beat-a-gun-charge-in-new-york/,15,0.08,79.00,0.34,0,"[100,35,43,35,43,35,66,66,54,43,66,29]",2026-03-09,AI overview,,
state of texas employees return to office,1,26,110,10,0.00,informational,https://www.tullylegal.com/resources/articles/texas-telework-policies-state-employee-rights-and-restrictions/,14,0.08,0.00,0,152,"[0,2,100,7,2,3,2,2,2,0,2,0]",2026-03-31,Organic,Video Carousel,
employment lawyer dc,1,0,110,35,4.92,commercial,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,14,0.08,68.00,0.68,150,"[100,65,34,34,34,26,42,42,34,34,34,26]",2026-03-20,Local pack,,
neighbor dispute lawyers near me,1,0,110,4,4.99,transactional,https://www.tullylegal.com/locations/manhattan-ny/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=NYC&utm_content=homepage,14,0.08,69.00,0.76,2270000,"[15,19,26,34,65,53,53,53,42,53,34,42]",2026-04-11,Local pack,,
top law firms in dc,3,0,320,40,3.63,informational,https://www.tullylegal.com/locations/washington-dc/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=WashingtonDC&utm_content=homepage,14,0.08,50.00,0.11,0,"[26,26,32,26,72,26,59,32,21,21,21,32]",2026-03-07,Local pack,,
civil rights attorney buffalo ny,1,0,110,4,2.03,commercial,https://www.tullylegal.com/locations/buffalo-ny/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Buffalo&utm_content=homepage,14,0.08,28.00,0.43,4890000,"[8,18,18,15,11,11,11,11,11,15,100,11]",2026-04-02,Local pack,,
